run_id,gpu_index,row_id,kind,variant,value,unit,cv_pct,n_reps,n_rejected,bench_src,git_sha,notes,rep_values
20260610T013402-33779,0,atomics.shared.add.lat,latency_cycles,,25.0001,cycles,0.000,10,0,bench/mem/atomics.cu,54454fe,dependent chain through returned value; c lanes share one slot,25.0001;25.0001;25.0001;25.0001;25.0001;25.0001;25.0001;25.0001;25.0001;25.0001
20260610T013402-33779,0,atomics.global.add.lat,latency_cycles,,311.125,cycles,0.005,10,0,bench/mem/atomics.cu,54454fe,L2-domain: Jia T4 reference 76-116 cyc by contention (tab4.2) is non-binding,311.133;311.148;311.106;311.124;311.112;311.126;311.147;311.148;311.111;311.119
20260610T013402-33779,0,atomics.shared.add.lat,latency_cycles,contention2,26.9999,cycles,0.000,10,0,bench/mem/atomics.cu,54454fe,dependent chain through returned value; c lanes share one slot,26.9999;26.9999;26.9999;26.9999;26.9999;26.9999;26.9999;26.9999;26.9999;26.9999
20260610T013402-33779,0,atomics.global.add.lat,latency_cycles,contention2,310.577,cycles,0.004,10,0,bench/mem/atomics.cu,54454fe,L2-domain: Jia T4 reference 76-116 cyc by contention (tab4.2) is non-binding,310.587;310.57;310.582;310.569;310.575;310.578;310.569;310.585;310.564;310.603
20260610T013402-33779,0,atomics.shared.add.lat,latency_cycles,contention4,31.0001,cycles,0.000,10,0,bench/mem/atomics.cu,54454fe,dependent chain through returned value; c lanes share one slot,31.0001;31.0001;31.0001;31.0001;31.0001;31.0001;31.0001;31.0001;31.0001;31.0001
20260610T013402-33779,0,atomics.global.add.lat,latency_cycles,contention4,310.734,cycles,0.006,10,0,bench/mem/atomics.cu,54454fe,L2-domain: Jia T4 reference 76-116 cyc by contention (tab4.2) is non-binding,310.701;310.717;310.701;310.746;310.735;310.748;310.699;310.74;310.733;310.738
20260610T013402-33779,0,atomics.shared.add.lat,latency_cycles,contention8,38.9999,cycles,0.000,10,0,bench/mem/atomics.cu,54454fe,dependent chain through returned value; c lanes share one slot,38.9999;38.9999;38.9999;38.9999;38.9999;38.9999;38.9999;38.9999;38.9999;38.9999
20260610T013402-33779,0,atomics.global.add.lat,latency_cycles,contention8,307.921,cycles,0.008,10,0,bench/mem/atomics.cu,54454fe,L2-domain: Jia T4 reference 76-116 cyc by contention (tab4.2) is non-binding,307.906;307.919;307.928;307.9;307.895;307.924;307.955;307.955;307.963;307.915
20260610T013402-33779,0,atomics.shared.add.lat,latency_cycles,contention16,54.9998,cycles,0.000,10,0,bench/mem/atomics.cu,54454fe,dependent chain through returned value; c lanes share one slot,54.9998;54.9998;54.9998;54.9998;54.9998;54.9999;54.9998;54.9998;54.9999;54.9998
20260610T013402-33779,0,atomics.global.add.lat,latency_cycles,contention16,304.46,cycles,0.020,10,0,bench/mem/atomics.cu,54454fe,L2-domain: Jia T4 reference 76-116 cyc by contention (tab4.2) is non-binding,304.377;304.446;304.54;304.458;304.374;304.494;304.482;304.462;304.352;304.464
20260610T013402-33779,0,atomics.shared.add.lat,latency_cycles,contention32,86.9998,cycles,0.000,10,0,bench/mem/atomics.cu,54454fe,dependent chain through returned value; c lanes share one slot,86.9998;86.9998;86.9998;86.9998;86.9998;86.9998;86.9998;86.9998;86.9998;86.9998
20260610T013402-33779,0,atomics.global.add.lat,latency_cycles,contention32,300.504,cycles,0.029,10,0,bench/mem/atomics.cu,54454fe,L2-domain: Jia T4 reference 76-116 cyc by contention (tab4.2) is non-binding,300.368;300.584;300.505;300.396;300.477;300.536;300.619;300.393;300.562;300.503
20260610T013402-33779,0,atomics.global.cas.lat,latency_cycles,,267.079,cycles,0.003,10,0,bench/mem/atomics.cu,54454fe,single-thread dependent CAS chain; no published prior,267.091;267.086;267.081;267.068;267.069;267.089;267.075;267.08;267.073;267.079
20260610T013447-33835,1,atomics.shared.add.lat,latency_cycles,,25.0001,cycles,0.000,10,0,bench/mem/atomics.cu,54454fe,dependent chain through returned value; c lanes share one slot,25.0001;25.0001;25.0001;25.0001;25.0001;25.0001;25.0001;25.0001;25.0001;25.0001
20260610T013447-33835,1,atomics.global.add.lat,latency_cycles,,312.995,cycles,0.004,10,0,bench/mem/atomics.cu,54454fe,L2-domain: Jia T4 reference 76-116 cyc by contention (tab4.2) is non-binding,312.984;313.002;312.988;313.004;312.971;313.001;312.99;313.003;312.973;313
20260610T013447-33835,1,atomics.shared.add.lat,latency_cycles,contention2,26.9999,cycles,0.000,10,0,bench/mem/atomics.cu,54454fe,dependent chain through returned value; c lanes share one slot,26.9999;26.9999;26.9999;26.9999;26.9999;26.9999;26.9999;26.9999;26.9999;26.9999
20260610T013447-33835,1,atomics.global.add.lat,latency_cycles,contention2,312.171,cycles,0.002,10,0,bench/mem/atomics.cu,54454fe,L2-domain: Jia T4 reference 76-116 cyc by contention (tab4.2) is non-binding,312.172;312.171;312.18;312.18;312.171;312.17;312.166;312.177;312.169;312.166
