run_id,timestamp_utc,host,bench,gpu_index,gpu_name,driver,cuda_toolkit,sm_clock_mhz,mem_clock_mhz,pstate,ecc,governor,git_sha,reps
20260609T233508-23808,2026-06-09T23:35:08Z,yarn,alu,0,Quadro RTX 6000,610.43.02,13030,1455,6500,P2,Disabled,performance,813577c,10
20260609T233531-23834,2026-06-09T23:35:31Z,yarn,pipes,0,Quadro RTX 6000,610.43.02,13030,1455,6500,P2,Disabled,performance,813577c,10
20260609T233543-23853,2026-06-09T23:35:43Z,yarn,alu,1,Quadro RTX 6000,610.43.02,13030,1455,6500,P2,Disabled,performance,813577c,10
20260609T233600-23878,2026-06-09T23:36:00Z,yarn,pipes,1,Quadro RTX 6000,610.43.02,13030,1455,6500,P2,Disabled,performance,813577c,10
20260609T233609-23897,2026-06-09T23:36:09Z,yarn,alu,0,Quadro RTX 6000,610.43.02,13030,1455,6500,P2,Disabled,performance,813577c,10
20260609T233633-24033,2026-06-09T23:36:33Z,yarn,pipes,0,Quadro RTX 6000,610.43.02,13030,1455,6500,P2,Disabled,performance,813577c,10
20260609T233644-24079,2026-06-09T23:36:44Z,yarn,alu,1,Quadro RTX 6000,610.43.02,13030,1455,6500,P2,Disabled,performance,813577c,10
20260609T233702-24124,2026-06-09T23:37:02Z,yarn,pipes,1,Quadro RTX 6000,610.43.02,13030,1455,6500,P2,Disabled,performance,813577c,10
20260609T233900-24251,2026-06-09T23:39:00Z,yarn,pipes,0,Quadro RTX 6000,610.43.02,13030,1455,6500,P2,Disabled,performance,813577c,10
20260609T233911-24262,2026-06-09T23:39:11Z,yarn,pipes,1,Quadro RTX 6000,610.43.02,13030,1455,6500,P2,Disabled,performance,813577c,10
20260609T233920-24273,2026-06-09T23:39:20Z,yarn,pipes,0,Quadro RTX 6000,610.43.02,13030,1455,6500,P2,Disabled,performance,813577c,10
20260609T233932-24284,2026-06-09T23:39:32Z,yarn,pipes,1,Quadro RTX 6000,610.43.02,13030,1455,6500,P2,Disabled,performance,813577c,10
