run_id,gpu_index,row_id,kind,variant,value,unit,cv_pct,n_reps,n_rejected,bench_src,git_sha,notes,rep_values
20260610T002940-27140,0,sfu.mufu.ex2.lat,latency_cycles,,15,cycles,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,ftz form (single MUFU.EX2; non-ftz adds a denormal fixup sequence); chain saturates to inf,15;15;15;15;15;15;15;15;15;15
20260610T002940-27140,0,sfu.mufu.ex2.tput,recip_tput,w1,0.123668,warpinst/SM/clk,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,,0.123668;0.123668;0.123668;0.123668;0.123668;0.123668;0.123668;0.123668;0.123668;0.123668
20260610T002940-27140,0,sfu.mufu.ex2.tput,recip_tput,w2,0.247336,warpinst/SM/clk,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,,0.247336;0.247336;0.247336;0.247336;0.247336;0.247336;0.247336;0.247336;0.247336;0.247336
20260610T002940-27140,0,sfu.mufu.ex2.tput,recip_tput,w4,0.494672,warpinst/SM/clk,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,,0.494672;0.494672;0.494672;0.494672;0.494672;0.494672;0.494672;0.494672;0.494672;0.494672
20260610T002940-27140,0,sfu.mufu.ex2.tput,recip_tput,w8,0.499676,warpinst/SM/clk,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,,0.499675;0.499677;0.499675;0.499677;0.499675;0.499677;0.499675;0.499677;0.499675;0.499677
20260610T002940-27140,0,sfu.mufu.ex2.tput,recip_tput,w16,0.499979,warpinst/SM/clk,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,,0.499979;0.499979;0.499979;0.499979;0.499979;0.499979;0.499979;0.499979;0.499979;0.499979
20260610T002940-27140,0,sfu.mufu.ex2.tput,recip_tput,w32,0.49998,warpinst/SM/clk,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,,0.49998;0.49998;0.49998;0.49998;0.49998;0.49998;0.49998;0.49998;0.49998;0.49998
20260610T003201-27386,0,sfu.mufu.ex2.lat,latency_cycles,,15,cycles,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,ftz form (single MUFU.EX2; non-ftz adds a denormal fixup sequence); chain saturates to inf,15;15;15;15;15;15;15;15;15;15
20260610T003201-27386,0,sfu.mufu.ex2.tput,recip_tput,w1,0.123668,warpinst/SM/clk,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,,0.123668;0.123668;0.123668;0.123668;0.123668;0.123668;0.123668;0.123668;0.123668;0.123668
20260610T003201-27386,0,sfu.mufu.ex2.tput,recip_tput,w2,0.247336,warpinst/SM/clk,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,,0.247336;0.247336;0.247336;0.247336;0.247336;0.247336;0.247336;0.247336;0.247336;0.247336
20260610T003201-27386,0,sfu.mufu.ex2.tput,recip_tput,w4,0.494672,warpinst/SM/clk,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,,0.494672;0.494672;0.494672;0.494672;0.494672;0.494672;0.494672;0.494672;0.494672;0.494672
20260610T003201-27386,0,sfu.mufu.ex2.tput,recip_tput,w8,0.499676,warpinst/SM/clk,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,,0.499675;0.499677;0.499675;0.499677;0.499675;0.499677;0.499675;0.499677;0.499675;0.499677
20260610T003201-27386,0,sfu.mufu.ex2.tput,recip_tput,w16,0.499979,warpinst/SM/clk,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,,0.499979;0.499979;0.499979;0.499979;0.499979;0.499979;0.499979;0.499979;0.499979;0.499979
20260610T003201-27386,0,sfu.mufu.ex2.tput,recip_tput,w32,0.49998,warpinst/SM/clk,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,,0.49998;0.49998;0.49998;0.49998;0.49998;0.49998;0.49998;0.49998;0.49998;0.49998
20260610T003241-27491,1,sfu.mufu.ex2.lat,latency_cycles,,15,cycles,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,ftz form (single MUFU.EX2; non-ftz adds a denormal fixup sequence); chain saturates to inf,15;15;15;15;15;15;15;15;15;15
20260610T003241-27491,1,sfu.mufu.ex2.tput,recip_tput,w1,0.123668,warpinst/SM/clk,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,,0.123668;0.123668;0.123668;0.123668;0.123668;0.123668;0.123668;0.123668;0.123668;0.123668
20260610T003241-27491,1,sfu.mufu.ex2.tput,recip_tput,w2,0.247336,warpinst/SM/clk,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,,0.247336;0.247336;0.247336;0.247336;0.247336;0.247336;0.247336;0.247336;0.247336;0.247336
20260610T003241-27491,1,sfu.mufu.ex2.tput,recip_tput,w4,0.494672,warpinst/SM/clk,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,,0.494672;0.494672;0.494672;0.494672;0.494672;0.494672;0.494672;0.494672;0.494672;0.494672
20260610T003241-27491,1,sfu.mufu.ex2.tput,recip_tput,w8,0.499676,warpinst/SM/clk,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,,0.499675;0.499677;0.499675;0.499677;0.499675;0.499677;0.499675;0.499677;0.499675;0.499677
20260610T003241-27491,1,sfu.mufu.ex2.tput,recip_tput,w16,0.499979,warpinst/SM/clk,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,,0.499979;0.499979;0.499979;0.499979;0.499979;0.499979;0.499979;0.499979;0.499979;0.499979
20260610T003241-27491,1,sfu.mufu.ex2.tput,recip_tput,w32,0.49998,warpinst/SM/clk,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,,0.49998;0.49998;0.49998;0.49998;0.49998;0.49998;0.49998;0.49998;0.49998;0.49998
20260610T003332-27621,0,sfu.mufu.ex2.lat,latency_cycles,,15,cycles,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,ftz form (single MUFU.EX2; non-ftz adds a denormal fixup sequence); chain saturates to inf,15;15;15;15;15;15;15;15;15;15
20260610T003332-27621,0,sfu.mufu.ex2.tput,recip_tput,w1,0.123668,warpinst/SM/clk,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,,0.123668;0.123668;0.123668;0.123668;0.123668;0.123668;0.123668;0.123668;0.123668;0.123668
20260610T003332-27621,0,sfu.mufu.ex2.tput,recip_tput,w2,0.247336,warpinst/SM/clk,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,,0.247336;0.247336;0.247336;0.247336;0.247336;0.247336;0.247336;0.247336;0.247336;0.247336
20260610T003332-27621,0,sfu.mufu.ex2.tput,recip_tput,w4,0.494672,warpinst/SM/clk,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,,0.494672;0.494672;0.494672;0.494672;0.494672;0.494672;0.494672;0.494672;0.494672;0.494672
20260610T003332-27621,0,sfu.mufu.ex2.tput,recip_tput,w8,0.499676,warpinst/SM/clk,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,,0.499675;0.499677;0.499675;0.499677;0.499675;0.499677;0.499675;0.499677;0.499675;0.499677
20260610T003332-27621,0,sfu.mufu.ex2.tput,recip_tput,w16,0.499979,warpinst/SM/clk,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,,0.499979;0.499979;0.499979;0.499979;0.499979;0.499979;0.499979;0.499979;0.499979;0.499979
20260610T003332-27621,0,sfu.mufu.ex2.tput,recip_tput,w32,0.49998,warpinst/SM/clk,0.000,10,0,bench/sfu/mufu.cu,a4fdd73,,0.49998;0.49998;0.49998;0.49998;0.49998;0.49998;0.49998;0.49998;0.49998;0.49998
