abseil-cpp 20260107.1-1
acl 2.3.2-2
ada 3.4.4-1
adobe-source-han-sans-cn-fonts 2.005-2
adobe-source-han-serif-cn-fonts 2.003-2
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.6.6-1
alsa-lib 1.2.15.3-2
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-2
aom 3.14.1-1
apache 2.4.67-1
apr 1.7.6-1
apr-util 1.6.3-2
archlinux-keyring 20260420-1
at-spi2-core 2.60.4-1
attr 2.5.2-2
audit 4.1.4-2
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc4-1
base 3-3
base-devel 1-2
bash 5.3.9-1
binutils 2.46+r70+g155188ea10a7-1
bison 3.8.2-8
blas 3.12.1-2
bluez 5.86-6
bluez-libs 5.86-6
bluez-utils 5.86-6
boost-libs 1.91.0-1
brotli 1.2.0-1
bubblewrap 0.11.2-1
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.124-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cblas 3.12.1-2
ccache 4.13.6-1
cccl 3.3.3-3
certbot 5.6.0-1
certbot-nginx 5.6.0-1
chromium 148.0.7778.215-1
cmake 4.3.3-1
colord 1.4.8-1
compiler-rt 22.1.6-1
coreutils 9.11-1
cpio 2.15-3
cppdap 1.58.0-3
cpupower 7.0.10-1
cronie 1.7.2-2
cryptsetup 2.8.6-1
cuda 13.2.1-3
cups 2:2.4.19-1
cups-filters 2.0.1-2
cups-pk-helper 0.2.7-2
curl 8.20.0-7
dav1d 1.5.3-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-units 37-3
dconf 0.49.0-1
debugedit 5.3-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.41-1
diffutils 3.12-2
dkms 3.4.1-1
dosfstools 4.2-5
double-conversion 3.4.0-1
duktape 2.7.0-7
dvisvgm 3.6-2
e2fsprogs 1.47.4-1
efibootmgr 18-4
efivar 39-2
egl-gbm 1.1.3-1
egl-wayland 4:1.1.21-1
egl-wayland2 1.0.1-1
egl-x11 1.0.5-1
eglexternalplatform 1.2.1-1
elementary-icon-theme 8.2.0-2
elfutils 0.195-1
exo 4.20.0-2
expat 2.8.1-1
fakeroot 1.38.1-1
ffcall 2.5-1
fftw 3.3.11-1
file 5.47-3
filesystem 2025.10.12-1
findutils 4.10.0-3
flac 1.5.0-1
flex 2.6.4-6
fmt 12.1.0-2
fontconfig 2:2.17.1-1
freetype2 2.14.3-1
fribidi 1.0.16-2
garcon 4.20.0-2
gawk 5.4.0-1
gc 8.2.12-1
gcc 16.1.1+r12+g301eb08fa2c5-1
gcc-libs 16.1.1+r12+g301eb08fa2c5-1
gcc15 15.2.1+r934+gbcd3e3ff5aa7-1
gcc15-libs 15.2.1+r934+gbcd3e3ff5aa7-1
gd 2.3.3-9
gdb 17.2-1
gdb-common 17.2-1
gdbm 1.26-2
gdk-pixbuf2 2.44.6-2
gettext 1.0-2
ghc-libs 9.6.6-1
ghostscript 10.07.1-1
ghostty-terminfo 1.3.1-2
giflib 6.1.3-1
git 2.54.0-1
github-cli 2.93.0-1
glib-networking 1:2.80.1-1
glib2 2.88.1-1
glibc 2.43+r22+g8362e8ce10b2-2
glslang 1:1.4.350.0-1
glycin 2.1.1-1
gmp 6.3.0-3
gnome-themes-extra 1:3.28-1
gnulib-l10n 20241231-1
gnupg 2.4.9-1
gnutls 3.8.13-2
go 2:1.26.3-1
gobject-introspection-runtime 1.86.0-2
gperftools 2.18.1-1
gpgme 2.1.0-1
gpgmepp 2.1.0-1
gpm 1.20.7.r38.ge82d1a6-6
gptfdisk 1.0.10-2
graphene 1.10.8-2
graphite 1:1.3.14-6
grep 3.12-2
groff 1.24.1-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gst-plugin-pipewire 1:1.6.6-1
gst-plugins-base-libs 1.28.3-1
gstreamer 1.28.3-1
gtest 1.17.0-2
gtk-layer-shell 0.10.1-1
gtk-update-icon-cache 1:4.22.4-1
gtk3 1:3.24.52-1
guile 3.0.11-1
gzip 1.14-2
harfbuzz 14.2.0-1
haskell-aeson 2.2.2.0-9
haskell-aeson-pretty 0.8.10-182
haskell-ansi-terminal 1.1-52
haskell-ansi-terminal-types 1.1-52
haskell-appar 0.1.8-16
haskell-asn1-encoding 0.9.6-357
haskell-asn1-parse 0.9.5-356
haskell-asn1-types 0.3.4-335
haskell-assoc 1.1.1-40
haskell-async 2.2.6-41
haskell-attoparsec 0.14.4-201
haskell-attoparsec-aeson 2.2.0.1-6
haskell-auto-update 0.1.6-475
haskell-base-compat 0.14.1-2
haskell-base-orphans 0.9.3-137
haskell-base-unicode-symbols 0.2.4.2-16
haskell-base16-bytestring 1.0.2.0-206
haskell-base64-bytestring 1.2.1.0-323
haskell-basement 0.0.16-4
haskell-bifunctors 5.6.3-22
haskell-bitvec 1.1.5.0-74
haskell-blaze-builder 0.4.4.1-52
haskell-blaze-html 0.9.2.0-129
haskell-blaze-markup 0.8.3.0-139
haskell-boring 0.2.2-2
haskell-bsb-http-chunked 0.0.0.4-523
haskell-byteorder 1.0.4-27
haskell-call-stack 0.4.0-434
haskell-case-insensitive 1.2.1.0-426
haskell-cassava 0.5.4.1-64
haskell-cborg 0.2.10.0-117
haskell-cereal 0.5.8.3-4
haskell-character-ps 0.1-1
haskell-citeproc 0.8.1.1-118
haskell-cmdargs 0.10.22-4
haskell-colour 2.3.7-18
haskell-commonmark 0.2.6.1-33
haskell-commonmark-extensions 0.2.5.6-28
haskell-commonmark-pandoc 0.2.2.3-77
haskell-comonad 5.0.10-10
haskell-conduit 1.3.6.1-164
haskell-conduit-extra 1.3.8-108
haskell-constraints 0.14.3-39
haskell-contravariant 1.5.6-1
haskell-cookie 0.5.0-2
haskell-crypton 1.0.4-36
haskell-crypton-connection 0.4.5-57
haskell-crypton-socks 0.6.2-43
haskell-crypton-x509 1.7.7-92
haskell-crypton-x509-store 1.6.12-29
haskell-crypton-x509-system 1.6.7-164
haskell-crypton-x509-validation 1.6.14-80
haskell-data-default 0.7.1.3-75
haskell-data-default-class 0.1.2.2-2
haskell-data-default-instances-containers 0.1.0.3-4
haskell-data-default-instances-dlist 0.0.1.2-178
haskell-data-default-instances-old-locale 0.0.1.2-2
haskell-data-fix 0.3.4-194
haskell-dec 0.0.6-2
haskell-digest 0.0.2.1-2
haskell-distributive 0.6.3-2
haskell-djot 0.1.2.4-2
haskell-dlist 1.0-428
haskell-doclayout 0.5.0.1-10
haskell-doctemplates 0.11.0.1-108
haskell-easy-file 0.2.5-147
haskell-emojis 0.1.4.1-108
haskell-erf 2.0.0.0-27
haskell-fast-logger 3.2.4-62
haskell-file-embed 0.0.16.0-2
haskell-generically 0.1.1-114
haskell-generics-sop 0.5.1.4-1
haskell-glob 0.10.2-244
haskell-gridtables 0.1.1.0-45
haskell-haddock-library 1.11.0-219
haskell-half 0.3.3-93
haskell-hashable 1.4.7.0-72
haskell-hourglass 0.2.12-372
haskell-hslua 2.3.0-236
haskell-hslua-aeson 2.3.1.1-84
haskell-hslua-classes 2.3.1-55
haskell-hslua-core 2.3.2-57
haskell-hslua-list 1.1.4-54
haskell-hslua-marshalling 2.3.1-165
haskell-hslua-module-doclayout 1.2.0-45
haskell-hslua-module-path 1.1.1-138
haskell-hslua-module-system 1.1.2-79
haskell-hslua-module-text 1.1.0.1-193
haskell-hslua-module-version 1.1.1-180
haskell-hslua-module-zip 1.1.3-73
haskell-hslua-objectorientation 2.3.1-74
haskell-hslua-packaging 2.3.1-176
haskell-hslua-repl 0.1.2-170
haskell-hslua-typing 0.1.1-168
haskell-http-api-data 0.6.1-66
haskell-http-client 0.7.19-83
haskell-http-client-tls 0.3.6.4-170
haskell-http-date 0.0.11-264
haskell-http-media 0.8.1.1-140
haskell-http-types 0.12.4-160
haskell-http2 5.1.2-5
haskell-hunit 1.6.2.0-477
haskell-indexed-traversable 0.1.4-195
haskell-indexed-traversable-instances 0.1.2.1-13
haskell-integer-conversion 0.1.1-80
haskell-integer-logarithms 1.0.4-195
haskell-iproute 1.7.15-110
haskell-ipynb 0.2-314
haskell-isocline 1.0.9-4
haskell-jira-wiki-markup 1.5.1-148
haskell-juicypixels 3.3.9-118
haskell-lexer 1.2-2
haskell-libyaml 0.1.4-192
haskell-lpeg 1.1.0-67
haskell-lua 2.3.4-29
haskell-memory 0.18.0-134
haskell-mime-types 0.1.2.1-1
haskell-mmorph 1.2.2-1
haskell-monad-control 1.0.3.1-320
haskell-mono-traversable 1.0.21.0-166
haskell-network 3.1.4.0-147
haskell-network-bsd 2.8.1.0-337
